season,team,wins
2021,Rajasthan Royals,5
2016,Gujarat Titans,9
2016,Sunrisers Hyderabad,11
2018,Punjab Kings,6
2023,,1
2023,Sunrisers Hyderabad,4
2021,,1
2018,Chennai Super Kings,11
2015,Royal Challengers Bengaluru,8
2014,Kolkata Knight Riders,11
2013,Chennai Super Kings,12
2017,Gujarat Titans,4
2025,Kolkata Knight Riders,5
2021,Chennai Super Kings,11
2015,Delhi Capitals,5
2014,Delhi Capitals,2
2014,Chennai Super Kings,10
2020,Kolkata Knight Riders,6
2020,Chennai Super Kings,6
2017,Royal Challengers Bengaluru,3
2021,Royal Challengers Bengaluru,9
2017,,1
2018,Rajasthan Royals,7
2015,Chennai Super Kings,10
2013,Mumbai Indians,13
2025,Gujarat Titans,9
2018,Delhi Capitals,5
2019,Chennai Super Kings,10
2020,Rajasthan Royals,6
2017,Kolkata Knight Riders,9
2013,Kolkata Knight Riders,6
2022,Mumbai Indians,4
2015,Kolkata Knight Riders,7
2017,Lucknow Super Giants,10
2024,Sunrisers Hyderabad,9
2019,Royal Challengers Bengaluru,5
2021,Kolkata Knight Riders,9
2013,Delhi Capitals,3
2017,Punjab Kings,7
2021,Delhi Capitals,9
2020,Sunrisers Hyderabad,8
2020,,4
2016,Punjab Kings,4
2022,Royal Challengers Bengaluru,9
2021,Mumbai Indians,7
2020,Delhi Capitals,8
2019,Delhi Capitals,9
2015,Sunrisers Hyderabad,7
2013,Punjab Kings,8
2015,,3
2024,Gujarat Titans,5
2025,Lucknow Super Giants,6
2022,Gujarat Titans,12
2024,Kolkata Knight Riders,11
2016,Royal Challengers Bengaluru,9
2023,Punjab Kings,6
2015,Punjab Kings,2
2025,Royal Challengers Bengaluru,11
2013,Sunrisers Hyderabad,9
2023,Mumbai Indians,9
2019,Punjab Kings,6
2023,Rajasthan Royals,7
2022,Sunrisers Hyderabad,6
2019,Mumbai Indians,10
2022,Punjab Kings,7
2021,Punjab Kings,6
2023,Delhi Capitals,5
2025,,4
2016,Mumbai Indians,7
2017,Mumbai Indians,11
2024,Punjab Kings,5
2023,Kolkata Knight Riders,6
2016,Kolkata Knight Riders,8
2022,Chennai Super Kings,4
2014,,1
2020,Punjab Kings,5
2015,Mumbai Indians,10
2019,Sunrisers Hyderabad,6
2018,Kolkata Knight Riders,9
2017,Sunrisers Hyderabad,8
2019,Rajasthan Royals,5
2013,,2
2013,Lucknow Super Giants,4
2015,Rajasthan Royals,7
2025,Delhi Capitals,6
2023,Royal Challengers Bengaluru,7
2022,Rajasthan Royals,10
2022,Delhi Capitals,7
2024,Chennai Super Kings,7
2024,Mumbai Indians,4
2024,Royal Challengers Bengaluru,7
2018,Mumbai Indians,6
2025,Mumbai Indians,9
2025,Chennai Super Kings,4
2014,Rajasthan Royals,6
2024,Delhi Capitals,7
2020,Mumbai Indians,11
2025,Punjab Kings,10
2024,Rajasthan Royals,9
2016,Lucknow Super Giants,5
2018,Royal Challengers Bengaluru,6
2023,Gujarat Titans,11
2016,Delhi Capitals,7
2021,Sunrisers Hyderabad,3
2019,Kolkata Knight Riders,6
2025,Sunrisers Hyderabad,6
2013,Royal Challengers Bengaluru,8
2025,Rajasthan Royals,4
2022,Kolkata Knight Riders,6
2014,Punjab Kings,12
2014,Mumbai Indians,7
2013,Rajasthan Royals,11
2020,Royal Challengers Bengaluru,6
2023,Lucknow Super Giants,8
2023,Chennai Super Kings,10
2022,Lucknow Super Giants,9
2018,Sunrisers Hyderabad,10
2019,,3
2014,Royal Challengers Bengaluru,5
2014,Sunrisers Hyderabad,6
2017,Delhi Capitals,6
2024,Lucknow Super Giants,7
