season,team,matches
2021,Rajasthan Royals,14
2016,Gujarat Titans,16
2016,Sunrisers Hyderabad,17
2018,Punjab Kings,14
2023,Sunrisers Hyderabad,14
2018,Chennai Super Kings,16
2015,Royal Challengers Bengaluru,16
2014,Kolkata Knight Riders,16
2013,Chennai Super Kings,18
2017,Gujarat Titans,14
2025,Kolkata Knight Riders,13
2021,Chennai Super Kings,16
2015,Delhi Capitals,14
2014,Delhi Capitals,14
2014,Chennai Super Kings,16
2020,Kolkata Knight Riders,14
2020,Chennai Super Kings,14
2017,Royal Challengers Bengaluru,13
2021,Royal Challengers Bengaluru,15
2018,Rajasthan Royals,15
2015,Chennai Super Kings,17
2013,Mumbai Indians,19
2025,Gujarat Titans,15
2018,Delhi Capitals,14
2019,Chennai Super Kings,17
2020,Rajasthan Royals,14
2017,Kolkata Knight Riders,16
2013,Kolkata Knight Riders,16
2022,Mumbai Indians,14
2015,Kolkata Knight Riders,13
2017,Lucknow Super Giants,16
2024,Sunrisers Hyderabad,16
2019,Royal Challengers Bengaluru,14
2021,Kolkata Knight Riders,17
2013,Delhi Capitals,16
2017,Punjab Kings,14
2021,Delhi Capitals,16
2020,Sunrisers Hyderabad,16
2016,Punjab Kings,14
2022,Royal Challengers Bengaluru,16
2021,Mumbai Indians,14
2020,Delhi Capitals,17
2019,Delhi Capitals,16
2015,Sunrisers Hyderabad,14
2013,Punjab Kings,16
2024,Gujarat Titans,12
2025,Lucknow Super Giants,14
2022,Gujarat Titans,16
2024,Kolkata Knight Riders,14
2016,Royal Challengers Bengaluru,16
2023,Punjab Kings,14
2015,Punjab Kings,14
2025,Royal Challengers Bengaluru,15
2013,Sunrisers Hyderabad,17
2023,Mumbai Indians,16
2019,Punjab Kings,14
2023,Rajasthan Royals,14
2022,Sunrisers Hyderabad,14
2019,Mumbai Indians,16
2022,Punjab Kings,14
2021,Punjab Kings,14
2023,Delhi Capitals,14
2016,Mumbai Indians,14
2017,Mumbai Indians,17
2024,Punjab Kings,14
2023,Kolkata Knight Riders,14
2016,Kolkata Knight Riders,15
2022,Chennai Super Kings,14
2020,Punjab Kings,14
2015,Mumbai Indians,16
2019,Sunrisers Hyderabad,15
2018,Kolkata Knight Riders,16
2017,Sunrisers Hyderabad,14
2019,Rajasthan Royals,14
2013,Lucknow Super Giants,16
2015,Rajasthan Royals,14
2025,Delhi Capitals,15
2023,Royal Challengers Bengaluru,14
2022,Rajasthan Royals,17
2022,Delhi Capitals,14
2024,Chennai Super Kings,14
2024,Mumbai Indians,14
2024,Royal Challengers Bengaluru,15
2018,Mumbai Indians,14
2025,Mumbai Indians,16
2025,Chennai Super Kings,14
2014,Rajasthan Royals,14
2024,Delhi Capitals,14
2020,Mumbai Indians,16
2024,Rajasthan Royals,15
2025,Punjab Kings,18
2016,Lucknow Super Giants,14
2018,Royal Challengers Bengaluru,14
2023,Gujarat Titans,17
2016,Delhi Capitals,14
2021,Sunrisers Hyderabad,14
2019,Kolkata Knight Riders,14
2025,Sunrisers Hyderabad,14
2013,Royal Challengers Bengaluru,16
2025,Rajasthan Royals,14
2022,Kolkata Knight Riders,14
2014,Punjab Kings,17
2014,Mumbai Indians,15
2013,Rajasthan Royals,18
2020,Royal Challengers Bengaluru,15
2023,Lucknow Super Giants,15
2023,Chennai Super Kings,16
2022,Lucknow Super Giants,15
2018,Sunrisers Hyderabad,17
2014,Royal Challengers Bengaluru,14
2014,Sunrisers Hyderabad,14
2017,Delhi Capitals,14
2024,Lucknow Super Giants,14
